# CLASS transfer function for vanilla LCDM with 3 massless neutrinos
# omega_b = 0.022383, omega_cdm = 0.12011, h = 0.6732, ln10^{10}A_s = 3.0448, n_s = 0.96605
# (cosmo parameters taken from first column in Table 1 of arxiv:1807.06209)
# 1:k (h/Mpc)   2:T(k)
5.82893e-04        9.95508e-01
5.86034e-04        9.95470e-01
5.89192e-04        9.95431e-01
5.92367e-04        9.95392e-01
5.95559e-04        9.95353e-01
5.98769e-04        9.95313e-01
6.01995e-04        9.95273e-01
6.05240e-04        9.95233e-01
6.08501e-04        9.95193e-01
6.11780e-04        9.95152e-01
6.15077e-04        9.95110e-01
6.18392e-04        9.95068e-01
6.21724e-04        9.95026e-01
6.25075e-04        9.94984e-01
6.28443e-04        9.94941e-01
6.31830e-04        9.94897e-01
6.35235e-04        9.94854e-01
6.38658e-04        9.94810e-01
6.42100e-04        9.94765e-01
6.45560e-04        9.94720e-01
6.49039e-04        9.94675e-01
6.52537e-04        9.94629e-01
6.56053e-04        9.94583e-01
6.59589e-04        9.94537e-01
6.63143e-04        9.94490e-01
6.66717e-04        9.94442e-01
6.70310e-04        9.94395e-01
6.73922e-04        9.94347e-01
6.77554e-04        9.94298e-01
6.81205e-04        9.94249e-01
6.84876e-04        9.94199e-01
6.88567e-04        9.94150e-01
6.92277e-04        9.94099e-01
6.96008e-04        9.94048e-01
6.99759e-04        9.93997e-01
7.03530e-04        9.93946e-01
7.07321e-04        9.93893e-01
7.11133e-04        9.93841e-01
7.14965e-04        9.93788e-01
7.18818e-04        9.93734e-01
7.22692e-04        9.93680e-01
7.26586e-04        9.93626e-01
7.30502e-04        9.93571e-01
7.34438e-04        9.93516e-01
7.38396e-04        9.93460e-01
7.42375e-04        9.93404e-01
7.46376e-04        9.93347e-01
7.50398e-04        9.93289e-01
7.54442e-04        9.93232e-01
7.58508e-04        9.93173e-01
7.62595e-04        9.93115e-01
7.66705e-04        9.93055e-01
7.70837e-04        9.92996e-01
7.74991e-04        9.92935e-01
7.79167e-04        9.92874e-01
7.83366e-04        9.92813e-01
